lookup_subcounty,lookup_ward,county_corrected
Mandera North,Guticha,Mandera
Mandera North,Morothile,Mandera
Mandera North,Rhamu,Mandera
Mandera North,Rhamu Dimtu,Mandera
Mandera South,Wargudud,Mandera
Mandera South,Kutulo,Mandera
Mandera South,Elwak South,Mandera
Mandera South,Elwak North,Mandera
Mandera South,Shimbir Fatuma,Mandera
Mandera East,Arabia,Mandera
Mandera East,Bulla Mpya,Mandera
Mandera East,Khalalio,Mandera
Mandera East,Neboi,Mandera
Mandera East,Township,Mandera
Lafey,Libehia,Mandera
Lafey,Fino,Mandera
Lafey,Lafey,Mandera
Lafey,Warankara,Mandera
Lafey,Alungo Gof,Mandera
Moyale,Butiye,Marsabit
Moyale,Sololo,Marsabit
Moyale,Heilu Manyatta,Marsabit
Moyale,Golbo,Marsabit
Moyale,Moyale Township,Marsabit
Moyale,Uran,Marsabit
Moyale,Obbu,Marsabit
North Horr,Illeret,Marsabit
North Horr,North Horr,Marsabit
North Horr,Dukana,Marsabit
North Horr,Maikona,Marsabit
North Horr,Turbi,Marsabit
Saku,Sagante/Jaldesa,Marsabit
Saku,Karare,Marsabit
Saku,Marsabit Central,Marsabit
Laisamis,Loiyangalani,Marsabit
Laisamis,Kargi/South Horr,Marsabit
Laisamis,Korr/Ngurunit,Marsabit
Laisamis,Log Logo,Marsabit
Laisamis,Laisamis,Marsabit
Isiolo North,Wabera,Isiolo
Isiolo North,Bulla Pesa,Isiolo
Isiolo North,Chari,Isiolo
Isiolo North,Cherab,Isiolo
Isiolo North,Ngare Mara,Isiolo
Isiolo North,Burat,Isiolo
Isiolo North,Oldonyiro,Isiolo
Isiolo South,Garbatulla,Isiolo
Isiolo South,Kinna,Isiolo
Isiolo South,Sericho,Isiolo
Igembe South,Maua,Meru
Igembe South,Kiegoi/Antubochiu,Meru
Igembe South,Athiru Gaiti,Meru
Igembe South,Akachiu,Meru
Igembe South,Kanuni,Meru
Igembe Central,AkirangOndu,Meru
Igembe Central,Athiru Ruujine,Meru
Igembe Central,Igembe East,Meru
Igembe Central,Njia,Meru
Igembe Central,Kangeta,Meru
Igembe North,Antuambui,Meru
Igembe North,Ntunene,Meru
Igembe North,Antubetwe Kiongo,Meru
Igembe North,Naathu,Meru
Igembe North,Amwathi,Meru
Tigania West,Athwana,Meru
Tigania West,Akithii,Meru
Tigania West,Kianjai,Meru
Tigania West,Nkomo,Meru
Tigania West,Mbeu,Meru
Tigania East,Thangatha,Meru
Tigania East,Mikinduri,Meru
Tigania East,Kiguchwa,Meru
Tigania East,Muthara,Meru
Tigania East,Karama,Meru
North Imenti,Municipality,Meru
North Imenti,Ntima East,Meru
North Imenti,Ntima West,Meru
North Imenti,Nyaki West,Meru
North Imenti,Nyaki East,Meru
Buuri,Timau,Meru
Buuri,Kisima,Meru
Buuri,Kiirua/Naari,Meru
Buuri,Ruiri/Rwarera,Meru
Buuri,Kibirichia,Meru
Central Imenti,Mwanganthia,Meru
Central Imenti,Abothuguchi Central,Meru
Central Imenti,Abothuguchi West,Meru
Central Imenti,Kiagu,Meru
South Imenti,Mitunguu,Meru
South Imenti,Igoji East,Meru
South Imenti,Igoji West,Meru
South Imenti,Abogeta East,Meru
South Imenti,Abogeta West,Meru
South Imenti,Nkuene,Meru
Maara,Mitheru,Tharaka-Nithi
Maara,Muthambi,Tharaka-Nithi
Maara,Mwimbi,Tharaka-Nithi
Maara,Ganga,Tharaka-Nithi
Maara,Chogoria,Tharaka-Nithi
Chuka/IgambangOm,Mariani,Tharaka-Nithi
Chuka/IgambangOm,Karingani,Tharaka-Nithi
Chuka/IgambangOm,Magumoni,Tharaka-Nithi
Chuka/IgambangOm,Mugwe,Tharaka-Nithi
Chuka/IgambangOm,IgambangOmbe,Tharaka-Nithi
Tharaka,Gatunga,Tharaka-Nithi
Tharaka,Mukothima,Tharaka-Nithi
Tharaka,Nkondi,Tharaka-Nithi
Tharaka,Chiakariga,Tharaka-Nithi
Tharaka,Marimanti,Tharaka-Nithi
Manyatta,Ruguru/Ngandori,Embu
Manyatta,Kithimu,Embu
Manyatta,Nginda,Embu
Manyatta,Mbeti North,Embu
Manyatta,Kirimari,Embu
Manyatta,Gaturi South,Embu
Runyenjes,Gaturi North,Embu
Runyenjes,Kagaari South,Embu
Runyenjes,Central Ward,Embu
Runyenjes,Kagaari North,Embu
Runyenjes,Kyeni North,Embu
Runyenjes,Kyeni South,Embu
Mbeere South,Mwea,Embu
Mbeere South,Makima,Embu
Mbeere South,Mbeti South,Embu
Mbeere South,Mavuria,Embu
Mbeere South,Kiambere,Embu
Mbeere North,Nthawa,Embu
Mbeere North,Muminji,Embu
Mbeere North,Evurore,Embu
Mwingi North,Ngomeni,Kitui
Mwingi North,Kyuso,Kitui
Mwingi North,Mumoni,Kitui
Mwingi North,Tseikuru,Kitui
Mwingi North,Tharaka,Kitui
Mwingi West,Kyome/Thaana,Kitui
Mwingi West,Nguutani,Kitui
Mwingi West,Migwani,Kitui
Mwingi West,Kiomo/Kyethani,Kitui
Mwingi Central,Central,Kitui
Mwingi Central,Kivou,Kitui
Mwingi Central,Nguni,Kitui
Mwingi Central,Nuu,Kitui
Mwingi Central,Mui,Kitui
Mwingi Central,Waita,Kitui
Kitui West,Mutonguni,Kitui
Kitui West,Kauwi,Kitui
Kitui West,Matinyani,Kitui
Kitui West,Kwa Mutonga/Kithumula,Kitui
Kitui Rural,Kisasi,Kitui
Kitui Rural,Mbitini,Kitui
Kitui Rural,Kwavonza/Yatta,Kitui
Kitui Rural,Kanyangi,Kitui
Kitui Central,Miambani,Kitui
Kitui Central,Township,Kitui
Kitui Central,Kyangwithya West,Kitui
Kitui Central,Mulango,Kitui
Kitui Central,Kyangwithya East,Kitui
Kitui East,Zombe/Mwitika,Kitui
Kitui East,Chuluni,Kitui
Kitui East,Nzambani,Kitui
Kitui East,Voo/Kyamatu,Kitui
Kitui East,Endau/Malalani,Kitui
Kitui East,Mutito/Kaliku,Kitui
Kitui South,Ikanga/Kyatune,Kitui
Kitui South,Mutomo,Kitui
Kitui South,Mutha,Kitui
Kitui South,Ikutha,Kitui
Kitui South,Kanziko,Kitui
Kitui South,Athi,Kitui
Masinga,Kivaa,Machakos
Masinga,Masinga Central,Machakos
Masinga,Ekalakala,Machakos
Masinga,Muthesya,Machakos
Masinga,Ndithini,Machakos
Yatta,Ndalani,Machakos
Yatta,Matuu,Machakos
Yatta,Kithimani,Machakos
Yatta,Ikombe,Machakos
Yatta,Katangi,Machakos
Kangundo,Kangundo North,Machakos
Kangundo,Kangundo Central,Machakos
Kangundo,Kangundo East,Machakos
Kangundo,Kangundo West,Machakos
Matungulu,Tala,Machakos
Matungulu,Matungulu North,Machakos
Matungulu,Matungulu East,Machakos
Matungulu,Matungulu West,Machakos
Matungulu,Kyeleni,Machakos
Kathiani,Mitaboni,Machakos
Kathiani,Kathiani Central,Machakos
Kathiani,Upper Kaewa/Iveti,Machakos
Kathiani,Lower Kaewa/Kaani,Machakos
Mavoko,Athi River,Machakos
Mavoko,Kinanie,Machakos
Mavoko,Muthwani,Machakos
Mavoko,Syokimau/Mulolongo,Machakos
Machakos Town,Kalama,Machakos
Machakos Town,Mua,Machakos
Machakos Town,Mutituni,Machakos
Machakos Town,Machakos Central,Machakos
Machakos Town,Mumbuni North,Machakos
Machakos Town,Muvuti/Kiima Kimwe,Machakos
Machakos Town,Kola,Machakos
Mwala,Mbiuni,Machakos
Mwala,Makutano/ Mwala,Machakos
Mwala,Masii,Machakos
Mwala,Muthetheni,Machakos
Mwala,Wamunyu,Machakos
Mwala,Kibauni,Machakos
Mbooni,Tulimani,Makueni
Mbooni,Mbooni,Makueni
Mbooni,Kithungo/Kitundu,Makueni
Mbooni,Kisau/Kiteta,Makueni
Mbooni,Waia/Kako,Makueni
Mbooni,Kalawa,Makueni
Kilome,Kasikeu,Makueni
Kilome,Mukaa,Makueni
Kilome,Kiima Kiu/Kalanzoni,Makueni
Kaiti,Ukia,Makueni
Kaiti,Kee,Makueni
Kaiti,Kilungu,Makueni
Kaiti,Ilima,Makueni
Makueni,Wote,Makueni
Makueni,Muvau/Kikuumini,Makueni
Makueni,Mavindini,Makueni
Makueni,Kitise/Kithuki,Makueni
Makueni,Kathonzweni,Makueni
Makueni,Nzaui/Kilili/Kalamba,Makueni
Makueni,Mbitini,Makueni
Kibwezi West,Makindu,Makueni
Kibwezi West,Nguumo,Makueni
Kibwezi West,Kikumbulyu North,Makueni
Kibwezi West,Kikumbulyu South,Makueni
Kibwezi West,Nguu/Masumba,Makueni
Kibwezi West,Emali/Mulala,Makueni
Kibwezi East,Masongaleni,Makueni
Kibwezi East,Mtito Andei,Makueni
Kibwezi East,Thange,Makueni
Kibwezi East,Ivingoni/Nzambani,Makueni
Kinangop,Engineer,Nyandarua
Kinangop,Gathara,Nyandarua
Kinangop,North Kinangop,Nyandarua
Kinangop,Murungaru,Nyandarua
Kinangop,Njabini\Kiburu,Nyandarua
Kinangop,Nyakio,Nyandarua
Kinangop,Githabai,Nyandarua
Kinangop,Magumu,Nyandarua
Kipipiri,Wanjohi,Nyandarua
Kipipiri,Kipipiri,Nyandarua
Kipipiri,Geta,Nyandarua
Kipipiri,Githioro,Nyandarua
Ol Kalou,Karau,Nyandarua
Ol Kalou,Kanjuiri Ridge,Nyandarua
Ol Kalou,Mirangine,Nyandarua
Ol Kalou,Kaimbaga,Nyandarua
Ol Kalou,Rurii,Nyandarua
Ol Jorok,Gathanji,Nyandarua
Ol Jorok,Gatimu,Nyandarua
Ol Jorok,Weru,Nyandarua
Ol Jorok,Charagita,Nyandarua
Ndaragwa,Leshau Pondo,Nyandarua
Ndaragwa,Kiriita,Nyandarua
Ndaragwa,Central,Nyandarua
Ndaragwa,Shamata,Nyandarua
Tetu,Dedan Kimanthi,Nyeri
Tetu,Wamagana,Nyeri
Tetu,Aguthi/Gaaki,Nyeri
Kieni,Mweiga,Nyeri
Kieni,Naromoru Kiamathaga,Nyeri
Kieni,Mwiyogo/Endarasha,Nyeri
Kieni,Mugunda,Nyeri
Kieni,Gatarakwa,Nyeri
Kieni,Thegu River,Nyeri
Kieni,Kabaru,Nyeri
Kieni,Gakawa,Nyeri
Mathira,Ruguru,Nyeri
Mathira,Magutu,Nyeri
Mathira,Iriaini,Nyeri
Mathira,Konyu,Nyeri
Mathira,Kirimukuyu,Nyeri
Mathira,Karatina Town,Nyeri
Othaya,Mahiga,Nyeri
Othaya,Iria Ini,Nyeri
Othaya,Chinga,Nyeri
Othaya,Karima,Nyeri
Mukurweini,Gikondi,Nyeri
Mukurweini,Rugi,Nyeri
Mukurweini,Mukurwe Ini West,Nyeri
Mukurweini,Mukurwe Ini Central,Nyeri
Nyeri Town,Kiganjo/Mathari,Nyeri
Nyeri Town,Rware,Nyeri
Nyeri Town,Gatitu/Muruguru,Nyeri
Nyeri Town,Ruringu,Nyeri
Nyeri Town,Kamakwa/Mukaro,Nyeri
Mwea,Mutithi,Kirinyaga
Mwea,Kangai,Kirinyaga
Mwea,Thiba,Kirinyaga
Mwea,Wamumu,Kirinyaga
Mwea,Nyangati,Kirinyaga
Mwea,Murinduko,Kirinyaga
Mwea,Gathigiriri,Kirinyaga
Mwea,Tebere,Kirinyaga
Gichugu,Kabare,Kirinyaga
Gichugu,Baragwi,Kirinyaga
Gichugu,Njukiini,Kirinyaga
Gichugu,Ngariama,Kirinyaga
Gichugu,Karumandi,Kirinyaga
Ndia,Mukure,Kirinyaga
Ndia,Kiine,Kirinyaga
Ndia,Kariti,Kirinyaga
Kirinyaga Central,Mutira,Kirinyaga
Kirinyaga Central,Kanyeki Ini,Kirinyaga
Kirinyaga Central,Kerugoya,Kirinyaga
Kirinyaga Central,Inoi,Kirinyaga
Kangema,Kanyenyaini,MurangA
Kangema,Muguru,MurangA
Kangema,Rwathia,MurangA
Mathioya,Gitugi,MurangA
Mathioya,Kiru,MurangA
Mathioya,Kamacharia,MurangA
Kiharu,Wangu,MurangA
Kiharu,Mugoiri,MurangA
Kiharu,Mbiri,MurangA
Kiharu,Township,MurangA
Kiharu,Murarandia,MurangA
Kiharu,Gaturi,MurangA
Kigumo,Kahumbu,MurangA
Kigumo,Muthithi,MurangA
Kigumo,Kigumo,MurangA
Kigumo,Kangari,MurangA
Kigumo,Kinyona,MurangA
Maragwa,Kimorori/Wempa,MurangA
Maragwa,Makuyu,MurangA
Maragwa,Kambiti,MurangA
Maragwa,Kamahuha,MurangA
Maragwa,Ichagaki,MurangA
Maragwa,Nginda,MurangA
Kandara,NgAraria,MurangA
Kandara,Muruka,MurangA
Kandara,Kagundu Ini,MurangA
Kandara,Gaichanjiru,MurangA
Kandara,Ithiru,MurangA
Kandara,Ruchu,MurangA
Gatanga,Ithanga,MurangA
Gatanga,Kakuzi/Mitubiri,MurangA
Gatanga,Mugumo Ini,MurangA
Gatanga,Kihumbu Ini,MurangA
Gatanga,Gatanga,MurangA
Gatanga,Kariara,MurangA
Gatundu South,Kiamwangi,Kiambu
Gatundu South,Kiganjo,Kiambu
Gatundu South,Ndarugu,Kiambu
Gatundu South,Ngenda,Kiambu
Gatundu North,Gituamba,Kiambu
Gatundu North,Githobokoni,Kiambu
Gatundu North,Chania,Kiambu
Gatundu North,MangU,Kiambu
Juja,Murera,Kiambu
Juja,Theta,Kiambu
Juja,Juja,Kiambu
Juja,Witeithie,Kiambu
Juja,Kalimoni,Kiambu
Thika Town,Township,Kiambu
Thika Town,Kamenu,Kiambu
Thika Town,Hospital,Kiambu
Thika Town,Gatuanyaga,Kiambu
Thika Town,Ngoliba,Kiambu
Ruiru,Gitothua,Kiambu
Ruiru,Biashara,Kiambu
Ruiru,Gatongora,Kiambu
Ruiru,Kahawa Sukari,Kiambu
Ruiru,Kahawa Wendani,Kiambu
Ruiru,Kiuu,Kiambu
Ruiru,Mwiki,Kiambu
Ruiru,Mwihoko,Kiambu
Githunguri,Githunguri,Kiambu
Githunguri,Githiga,Kiambu
Githunguri,Ikinu,Kiambu
Githunguri,Ngewa,Kiambu
Githunguri,Komothai,Kiambu
Kiambu,TingAngA,Kiambu
Kiambu,Ndumberi,Kiambu
Kiambu,Riabai,Kiambu
Kiambu,Township,Kiambu
Kiambaa,Cianda,Kiambu
Kiambaa,Karuri,Kiambu
Kiambaa,Ndenderu,Kiambu
Kiambaa,Muchatha,Kiambu
Kiambaa,Kihara,Kiambu
Kabete,Gitaru,Kiambu
Kabete,Muguga,Kiambu
Kabete,Nyadhuna,Kiambu
Kabete,Kabete,Kiambu
Kabete,Uthiru,Kiambu
Kikuyu,Karai,Kiambu
Kikuyu,Nachu,Kiambu
Kikuyu,Sigona,Kiambu
Kikuyu,Kikuyu,Kiambu
Kikuyu,Kinoo,Kiambu
Limuru,Bibirioni,Kiambu
Limuru,Limuru Central,Kiambu
Limuru,Ndeiya,Kiambu
Limuru,Limuru East,Kiambu
Limuru,Ngecha Tigoni,Kiambu
Lari,Kinale,Kiambu
Lari,Kijabe,Kiambu
Lari,Nyanduma,Kiambu
Lari,Kamburu,Kiambu
Lari,Lari/Kirenga,Kiambu
Turkana North,Kaeris,Turkana
Turkana North,Lake Zone,Turkana
Turkana North,Lapur,Turkana
Turkana North,Kaaleng/Kaikor,Turkana
Turkana North,Kibish,Turkana
Turkana North,Nakalale,Turkana
Turkana West,Kakuma,Turkana
Turkana West,Lopur,Turkana
Turkana West,Letea,Turkana
Turkana West,Songot,Turkana
Turkana West,Kalobeyei,Turkana
Turkana West,Lokichoggio,Turkana
Turkana West,Nanaam,Turkana
Turkana Central,Kerio Delta,Turkana
Turkana Central,KangAtotha,Turkana
Turkana Central,Kalokol,Turkana
Turkana Central,Lodwar Township,Turkana
Turkana Central,Kanamkemer,Turkana
Loima,Kotaruk/Lobei,Turkana
Loima,Turkwel,Turkana
Loima,Loima,Turkana
Loima,Lokiriama/Lorengippi,Turkana
Turkana South,Kaputir,Turkana
Turkana South,Katilu,Turkana
Turkana South,Lobokat,Turkana
Turkana South,Kalapata,Turkana
Turkana South,Lokichar,Turkana
Turkana East,Kapedo/Napeitom,Turkana
Turkana East,Katilia,Turkana
Turkana East,Lokori/Kochodin,Turkana
Kapenguria,Riwo,West Pokot
Kapenguria,Kapenguria,West Pokot
Kapenguria,Mnagei,West Pokot
Kapenguria,Siyoi,West Pokot
Kapenguria,Endugh,West Pokot
Kapenguria,Sook,West Pokot
Sigor,Sekerr,West Pokot
Sigor,Masool,West Pokot
Sigor,Lomut,West Pokot
Sigor,Weiwei,West Pokot
Kacheliba,Suam,West Pokot
Kacheliba,Kodich,West Pokot
Kacheliba,Kapckok,West Pokot
Kacheliba,Kasei,West Pokot
Kacheliba,Kiwawa,West Pokot
Kacheliba,Alale,West Pokot
Pokot South,Chepareria,West Pokot
Pokot South,Batei,West Pokot
Pokot South,Lelan,West Pokot
Pokot South,Tapach,West Pokot
Samburu West,Lodokejek,Samburu
Samburu West,Suguta Marmar,Samburu
Samburu West,Maralal,Samburu
Samburu West,Loosuk,Samburu
Samburu West,Poro,Samburu
Samburu North,El Barta,Samburu
Samburu North,Nachola,Samburu
Samburu North,Ndoto,Samburu
Samburu North,Nyiro,Samburu
Samburu North,Angata Nanyokie,Samburu
Samburu North,Baawa,Samburu
Samburu East,Waso,Samburu
Samburu East,Wamba West,Samburu
Samburu East,Wamba East,Samburu
Samburu East,Wamba North,Samburu
Kwanza,Kapomboi,Trans Nzoia
Kwanza,Kwanza,Trans Nzoia
Kwanza,Keiyo,Trans Nzoia
Kwanza,Bidii,Trans Nzoia
Endebess,Chepchoina,Trans Nzoia
Endebess,Endebess,Trans Nzoia
Endebess,Matumbei,Trans Nzoia
Saboti,Kinyoro,Trans Nzoia
Saboti,Matisi,Trans Nzoia
Saboti,Tuwani,Trans Nzoia
Saboti,Saboti,Trans Nzoia
Saboti,Machewa,Trans Nzoia
Kiminini,Kiminini,Trans Nzoia
Kiminini,Waitaluk,Trans Nzoia
Kiminini,Sirende,Trans Nzoia
Kiminini,Hospital,Trans Nzoia
Kiminini,Sikhendu,Trans Nzoia
Kiminini,Nabiswa,Trans Nzoia
Cherangany,Sinyerere,Trans Nzoia
Cherangany,Makutano,Trans Nzoia
Cherangany,Kaplamai,Trans Nzoia
Cherangany,Motosiet,Trans Nzoia
Cherangany,Cherangany/Suwerwa,Trans Nzoia
Cherangany,Chepsiro/Kiptoror,Trans Nzoia
Cherangany,Sitatunga,Trans Nzoia
Soy,MoiS Bridge,Uasin Gishu
Soy,Kapkures,Uasin Gishu
Soy,Ziwa,Uasin Gishu
Soy,Segero/Barsombe,Uasin Gishu
Soy,Kipsomba,Uasin Gishu
Soy,Soy,Uasin Gishu
Soy,Kuinet/Kapsuswa,Uasin Gishu
Turbo,Ngenyilel,Uasin Gishu
Turbo,Tapsagoi,Uasin Gishu
Turbo,Kamagut,Uasin Gishu
Turbo,Kiplombe,Uasin Gishu
Turbo,Kapsaos,Uasin Gishu
Turbo,Huruma,Uasin Gishu
Moiben,Tembelio,Uasin Gishu
Moiben,Sergoit,Uasin Gishu
Moiben,Karuna/Meibeki,Uasin Gishu
Moiben,Moiben,Uasin Gishu
Moiben,Kimumu,Uasin Gishu
Ainabkoi,Kapsoya,Uasin Gishu
Ainabkoi,Kaptagat,Uasin Gishu
Ainabkoi,Ainabkoi/Olare,Uasin Gishu
Kapseret,Simat/Kapseret,Uasin Gishu
Kapseret,Kipkenyo,Uasin Gishu
Kapseret,Ngeria,Uasin Gishu
Kapseret,Megun,Uasin Gishu
Kapseret,Langas,Uasin Gishu
Kesses,Racecourse,Uasin Gishu
Kesses,Cheptiret/Kipchamo,Uasin Gishu
Kesses,Tulwet/Chuiyat,Uasin Gishu
Kesses,Tarakwa,Uasin Gishu
Marakwet East,Kapyego,Elgeyo/Marakwet
Marakwet East,Sambirir,Elgeyo/Marakwet
Marakwet East,Endo,Elgeyo/Marakwet
Marakwet East,Embobut / Embulot,Elgeyo/Marakwet
Marakwet West,Lelan,Elgeyo/Marakwet
Marakwet West,Sengwer,Elgeyo/Marakwet
Marakwet West,CherangAny/Chebororwa,Elgeyo/Marakwet
Marakwet West,Moiben/Kuserwo,Elgeyo/Marakwet
Marakwet West,Kapsowar,Elgeyo/Marakwet
Marakwet West,Arror,Elgeyo/Marakwet
Keiyo North,Emsoo,Elgeyo/Marakwet
Keiyo North,Kamariny,Elgeyo/Marakwet
Keiyo North,Kapchemutwa,Elgeyo/Marakwet
Keiyo North,Tambach,Elgeyo/Marakwet
Keiyo South,Kaptarakwa,Elgeyo/Marakwet
Keiyo South,Chepkorio,Elgeyo/Marakwet
Keiyo South,Soy North,Elgeyo/Marakwet
Keiyo South,Soy South,Elgeyo/Marakwet
Keiyo South,Kabiemit,Elgeyo/Marakwet
