ward_key,correct_ward,correct_subcounty,correct_county
Soweto,Sigowet,Sigowet/Soin,Kericho
Yokimau Mulolongo,Syokimau/Mulolongo,Mavoko,Machakos
Utalii,Utalii,Ruaraka,Nairobi
Chepyuk,Chepyuk,Mt.Elgon,Bungoma
Zimmerman,Zimmerman,Roysambu,Nairobi
Jomvu Kuu,Jomvu Kuu,Jomvu,Mombasa
Utalawa,Kalawa,Mbooni,Makueni
Saika,Saka,Balambala,Garissa
Maili Saba,Laini Saba,Kibra,Nairobi
Langata,Langas,Kapseret,Uasin Gishu
Silanga,Siana,Narok West,Narok
marenyo_-_shianda,Marenyo Shianda,Butere,Kakamega
south-c,South C,Langata,Nairobi
Elgon,Elgon,Mt.Elgon,Bungoma
Lambwe,Lambwe,Mbita,Homa Bay
Pipeline,Pipeline,Embakasi South,Nairobi
Lucky Ummer,Lucky Summer,Ruaraka,Nairobi
Pangani,Pangani,Starehe,Nairobi
Magogoni,Magogoni,Kisauni,Mombasa
Karura,Karura,Westlands,Nairobi
Sarangombe,Sarangombe,Kibra,Nairobi
Roy Ambu,Roysambu,Roysambu,Nairobi
Yala Town Hip,Yala Township,Gem,Siaya
Mnarani,Mnarani,Kilifi North,Kilifi
Shimo La Tewa,Shimo La Tewa,Kilifi South,Kilifi
Shaurimoyo Kaloleni,Shaurimoyo Kaloleni,Kisumu Central,Kisumu
Athi River,Athi River,Mavoko,Machakos
Mtongwe,Mtongwe,Likoni,Mombasa
Woodley Kenyatta Golf,Woodley/Kenyatta Golf,Kibra,Nairobi
Nairobi South,Nairobi South,Starehe,Nairobi
Umoja Ii,Umoja II,Embakasi West,Nairobi
Ngara,Ngara,Starehe,Nairobi
Kawangware,Kawangware,Dagoretti North,Nairobi
Sigomere,Sigomere,Ugunja,Siaya
North Ki Umu,North West Kisumu,Kisumu West,Kisumu
Githurai,Githurai,Roysambu,Nairobi
Karen,Karen,Langata,Nairobi
Mtepeni,Mtepeni,Kilifi South,Kilifi
Mwawe A,Mwawesa,Rabai,Kilifi
Chala,Chala,Taveta,Taita Taveta
